"","id","date","price","bedrooms","bathrooms","sqft_living","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long"
"1",6414100192,"20141209",538000,3,2.25,2570,3,2170,400,1951,1991,98125,47.721,-122.319
"2",2487200875,"20141209",604000,4,3,1960,5,1050,910,1965,0,98136,47.5208,-122.393
"3",1954400510,"20150218",510000,3,2,1680,3,1680,0,1987,0,98074,47.6168,-122.045
"4",7237550310,"20140512",1225000,4,4.5,5420,3,3890,1530,2001,0,98053,47.6561,-122.005
"5",1321400060,"20140627",257500,3,2.25,1715,3,1715,0,1995,0,98003,47.3097,-122.327
"6",2008000270,"20150115",291850,3,1.5,1060,3,1060,0,1963,0,98198,47.4095,-122.315
"7",3793500160,"20150312",323000,3,2.5,1890,3,1890,0,2003,0,98038,47.3684,-122.031
"8",1736800520,"20150403",662500,3,2.5,3560,3,1860,1700,1965,0,98007,47.6007,-122.145
"9",6054650070,"20141007",4e+05,3,1.75,1370,4,1370,0,1977,0,98074,47.6127,-122.045
"10",1175000570,"20150312",530000,5,2,1810,3,1810,0,1900,0,98107,47.67,-122.394
"11",9297300055,"20150124",650000,4,3,2950,3,1980,970,1979,0,98126,47.5714,-122.375
"12",1875500060,"20140731",395000,3,2,1890,3,1890,0,1994,0,98019,47.7277,-121.962
"13",6300500875,"20140514",385000,4,1.75,1620,4,860,760,1947,0,98133,47.7025,-122.341
"14",2524049179,"20140826",2e+06,3,2.75,3050,3,2330,720,1968,0,98040,47.5316,-122.233
"15",7137970340,"20140703",285000,5,2.5,2270,3,2270,0,1995,0,98092,47.3266,-122.169
"16",8091400200,"20140516",252700,2,1.5,1070,3,1070,0,1985,0,98030,47.3533,-122.166
"17",3814700200,"20141120",329000,3,2.25,2450,4,2450,0,1985,0,98030,47.3739,-122.172
"18",1202000200,"20141103",233000,3,2,1710,5,1710,0,1941,0,98002,47.3048,-122.218
"19",1794500383,"20140626",937000,3,1.75,2450,3,1750,700,1915,0,98119,47.6386,-122.36
"20",5101402488,"20140624",438000,3,1.75,1520,3,790,730,1948,0,98115,47.695,-122.304
"21",1873100390,"20150302",719000,4,2.5,2570,3,2570,0,2005,0,98052,47.7073,-122.11
"22",8562750320,"20141110",580500,3,2.5,2320,3,2320,0,2003,0,98027,47.5391,-122.07
"23",2426039314,"20141201",280000,2,1.5,1190,3,1190,0,2005,0,98133,47.7274,-122.357
"24",461000390,"20140624",687500,4,1.75,2330,4,1510,820,1929,0,98117,47.6823,-122.368
"25",7955080270,"20141203",322500,4,2.75,2060,3,1280,780,1981,0,98058,47.4276,-122.157
"26",9547205180,"20140613",696000,3,2.5,2300,3,1510,790,1930,2002,98115,47.6827,-122.31
"27",2768000400,"20141230",640000,4,2,2360,4,2360,0,1904,0,98107,47.6702,-122.362
"28",2078500320,"20140620",605000,4,2.5,2620,3,2620,0,1996,0,98056,47.5301,-122.18
"29",5547700270,"20140715",625000,4,2.5,2570,3,2570,0,2000,0,98074,47.6145,-122.027
"30",7766200013,"20140811",775000,4,2.25,4220,3,2600,1620,1984,0,98166,47.445,-122.347
"31",7203220400,"20140707",861990,5,2.75,3595,3,3595,0,2014,0,98053,47.6848,-122.016
"32",8035350320,"20140718",488000,3,2.5,3160,3,3160,0,2003,0,98019,47.7443,-121.977
"33",4178300310,"20140716",785000,4,2.5,2290,4,2290,0,1981,0,98007,47.6194,-122.151
"34",9215400105,"20150428",450000,3,1.75,1250,4,1250,0,1953,0,98115,47.6796,-122.301
"35",822039084,"20150311",1350000,3,2.5,2753,5,2165,588,1953,0,98070,47.4041,-122.451
"36",7231300125,"20150217",345000,5,2.5,3150,4,1640,1510,1966,0,98056,47.4934,-122.189
"37",7518505990,"20141231",6e+05,3,1.75,1410,4,1000,410,1950,0,98117,47.6808,-122.384
"38",3626039271,"20150205",585000,2,1.75,1980,3,990,990,1981,0,98117,47.6989,-122.369
"39",4217401195,"20150303",920000,5,2.25,2730,3,2130,600,1927,0,98105,47.6571,-122.281
"40",9822700295,"20140512",885000,4,2.5,2830,3,2830,0,1995,0,98105,47.6597,-122.29
"41",9478500640,"20140819",292500,4,2.5,2250,3,2250,0,2008,0,98042,47.3663,-122.114
"42",2799800710,"20150407",301000,3,2.5,2420,3,2420,0,2003,0,98042,47.3663,-122.122
"43",7922800400,"20140827",951000,5,3.25,3250,4,3250,0,1968,0,98008,47.588,-122.116
"44",8079040320,"20150223",430000,4,3,1850,3,1850,0,1991,0,98059,47.5059,-122.149
"45",1516000055,"20141210",650000,3,2.25,2150,4,1590,560,1959,0,98166,47.4336,-122.339
"46",9558200045,"20140828",289000,3,1.75,1260,3,1260,0,1954,0,98148,47.4366,-122.335
"47",5072410070,"20141021",505000,3,1.75,2519,5,2519,0,1973,0,98166,47.4428,-122.344
"48",9528102996,"20141207",549000,3,1.75,1540,3,1540,0,2014,0,98115,47.6765,-122.32
